COMMODITY_SITC,COUNTRY_ORIGIN,STATE_DEST,FREQ,TIME_PERIOD,value
Beverages and tobacco,Total,Total,Monthly,2009-07,137357
Beverages and tobacco,Total,Total,Monthly,2009-08,138090
Beverages and tobacco,Total,Total,Monthly,2009-09,179910
Beverages and tobacco,Total,Total,Monthly,2009-10,194053
Beverages and tobacco,Total,Total,Monthly,2009-11,172684
Beverages and tobacco,Total,Total,Monthly,2009-12,176244
Beverages and tobacco,Total,Total,Monthly,2010-01,121628
Beverages and tobacco,Total,Total,Monthly,2010-02,102012
Beverages and tobacco,Total,Total,Monthly,2010-03,139227
Beverages and tobacco,Total,Total,Monthly,2010-04,120452
Beverages and tobacco,Total,Total,Monthly,2010-05,113621
Beverages and tobacco,Total,Total,Monthly,2010-06,124982
Beverages and tobacco,Total,Total,Monthly,2010-07,134988
Beverages and tobacco,Total,Total,Monthly,2010-08,153834
Beverages and tobacco,Total,Total,Monthly,2010-09,192895
Beverages and tobacco,Total,Total,Monthly,2010-10,167426
Beverages and tobacco,Total,Total,Monthly,2010-11,161064
Beverages and tobacco,Total,Total,Monthly,2010-12,174659
Beverages and tobacco,Total,Total,Monthly,2011-01,119582
Beverages and tobacco,Total,Total,Monthly,2011-02,101441
Beverages and tobacco,Total,Total,Monthly,2011-03,141847
Beverages and tobacco,Total,Total,Monthly,2011-04,143844
Beverages and tobacco,Total,Total,Monthly,2011-05,139465
Beverages and tobacco,Total,Total,Monthly,2011-06,111943
Beverages and tobacco,Total,Total,Monthly,2011-07,131719
Beverages and tobacco,Total,Total,Monthly,2011-08,168304
Beverages and tobacco,Total,Total,Monthly,2011-09,186990
Beverages and tobacco,Total,Total,Monthly,2011-10,189019
Beverages and tobacco,Total,Total,Monthly,2011-11,211239
Beverages and tobacco,Total,Total,Monthly,2011-12,168795
Beverages and tobacco,Total,Total,Monthly,2012-01,129423
Beverages and tobacco,Total,Total,Monthly,2012-02,145625
Beverages and tobacco,Total,Total,Monthly,2012-03,133707
Beverages and tobacco,Total,Total,Monthly,2012-04,144471
Beverages and tobacco,Total,Total,Monthly,2012-05,153003
Beverages and tobacco,Total,Total,Monthly,2012-06,131740
Beverages and tobacco,Total,Total,Monthly,2012-07,160062
Beverages and tobacco,Total,Total,Monthly,2012-08,194234
Beverages and tobacco,Total,Total,Monthly,2012-09,184092
Beverages and tobacco,Total,Total,Monthly,2012-10,209398
Beverages and tobacco,Total,Total,Monthly,2012-11,237452
Beverages and tobacco,Total,Total,Monthly,2012-12,173036
Beverages and tobacco,Total,Total,Monthly,2013-01,166686
Beverages and tobacco,Total,Total,Monthly,2013-02,142279
Beverages and tobacco,Total,Total,Monthly,2013-03,163933
Beverages and tobacco,Total,Total,Monthly,2013-04,168016
Beverages and tobacco,Total,Total,Monthly,2013-05,164169
Beverages and tobacco,Total,Total,Monthly,2013-06,171297
Beverages and tobacco,Total,Total,Monthly,2013-07,194929
Beverages and tobacco,Total,Total,Monthly,2013-08,222959
Beverages and tobacco,Total,Total,Monthly,2013-09,245270
Beverages and tobacco,Total,Total,Monthly,2013-10,267095
Beverages and tobacco,Total,Total,Monthly,2013-11,265215
Beverages and tobacco,Total,Total,Monthly,2013-12,252991
Beverages and tobacco,Total,Total,Monthly,2014-01,199421
Beverages and tobacco,Total,Total,Monthly,2014-02,204991
Beverages and tobacco,Total,Total,Monthly,2014-03,188295
Beverages and tobacco,Total,Total,Monthly,2014-04,210100
Beverages and tobacco,Total,Total,Monthly,2014-05,202413
Beverages and tobacco,Total,Total,Monthly,2014-06,197682
Beverages and tobacco,Total,Total,Monthly,2014-07,220947
Beverages and tobacco,Total,Total,Monthly,2014-08,228331
Beverages and tobacco,Total,Total,Monthly,2014-09,275225
Beverages and tobacco,Total,Total,Monthly,2014-10,271403
Beverages and tobacco,Total,Total,Monthly,2014-11,262300
Beverages and tobacco,Total,Total,Monthly,2014-12,272780
Beverages and tobacco,Total,Total,Monthly,2015-01,197636
Beverages and tobacco,Total,Total,Monthly,2015-02,203502
Beverages and tobacco,Total,Total,Monthly,2015-03,252786
Beverages and tobacco,Total,Total,Monthly,2015-04,217195
Beverages and tobacco,Total,Total,Monthly,2015-05,238913
Beverages and tobacco,Total,Total,Monthly,2015-06,242917
Beverages and tobacco,Total,Total,Monthly,2015-07,276380
Beverages and tobacco,Total,Total,Monthly,2015-08,264351
Beverages and tobacco,Total,Total,Monthly,2015-09,329808
Beverages and tobacco,Total,Total,Monthly,2015-10,341270
Beverages and tobacco,Total,Total,Monthly,2015-11,309161
Beverages and tobacco,Total,Total,Monthly,2015-12,330605
Beverages and tobacco,Total,Total,Monthly,2016-01,215182
Beverages and tobacco,Total,Total,Monthly,2016-02,246639
Beverages and tobacco,Total,Total,Monthly,2016-03,280719
Beverages and tobacco,Total,Total,Monthly,2016-04,249297
Beverages and tobacco,Total,Total,Monthly,2016-05,239098
Beverages and tobacco,Total,Total,Monthly,2016-06,254718
Beverages and tobacco,Total,Total,Monthly,2016-07,238768
Beverages and tobacco,Total,Total,Monthly,2016-08,308645
Beverages and tobacco,Total,Total,Monthly,2016-09,313857
Beverages and tobacco,Total,Total,Monthly,2016-10,302789
Beverages and tobacco,Total,Total,Monthly,2016-11,315360
Beverages and tobacco,Total,Total,Monthly,2016-12,305142
Beverages and tobacco,Total,Total,Monthly,2017-01,231525
Beverages and tobacco,Total,Total,Monthly,2017-02,216861
Beverages and tobacco,Total,Total,Monthly,2017-03,281961
Beverages and tobacco,Total,Total,Monthly,2017-04,215399
Beverages and tobacco,Total,Total,Monthly,2017-05,251921
Beverages and tobacco,Total,Total,Monthly,2017-06,231521
Beverages and tobacco,Total,Total,Monthly,2017-07,234030
Beverages and tobacco,Total,Total,Monthly,2017-08,300838
Beverages and tobacco,Total,Total,Monthly,2017-09,327786
Beverages and tobacco,Total,Total,Monthly,2017-10,350100
Beverages and tobacco,Total,Total,Monthly,2017-11,340382
Beverages and tobacco,Total,Total,Monthly,2017-12,302416
Beverages and tobacco,Total,Total,Monthly,2018-01,231135
Beverages and tobacco,Total,Total,Monthly,2018-02,245297
Beverages and tobacco,Total,Total,Monthly,2018-03,271090
Beverages and tobacco,Total,Total,Monthly,2018-04,254181
Beverages and tobacco,Total,Total,Monthly,2018-05,276298
Beverages and tobacco,Total,Total,Monthly,2018-06,269914
Beverages and tobacco,Total,Total,Monthly,2018-07,284125
Beverages and tobacco,Total,Total,Monthly,2018-08,351291
Beverages and tobacco,Total,Total,Monthly,2018-09,324219
Beverages and tobacco,Total,Total,Monthly,2018-10,371262
Beverages and tobacco,Total,Total,Monthly,2018-11,359270
Beverages and tobacco,Total,Total,Monthly,2018-12,305375
Beverages and tobacco,Total,Total,Monthly,2019-01,283405
Beverages and tobacco,Total,Total,Monthly,2019-02,261060
Beverages and tobacco,Total,Total,Monthly,2019-03,305148
Beverages and tobacco,Total,Total,Monthly,2019-04,274861
Beverages and tobacco,Total,Total,Monthly,2019-05,395433
Beverages and tobacco,Total,Total,Monthly,2019-06,241295
Beverages and tobacco,Total,Total,Monthly,2019-07,355132
Beverages and tobacco,Total,Total,Monthly,2019-08,368317
Beverages and tobacco,Total,Total,Monthly,2019-09,283638
Beverages and tobacco,Total,Total,Monthly,2019-10,410332
Beverages and tobacco,Total,Total,Monthly,2019-11,338962
Beverages and tobacco,Total,Total,Monthly,2019-12,282272
Beverages and tobacco,Total,Total,Monthly,2020-01,255704
Beverages and tobacco,Total,Total,Monthly,2020-02,219933
Beverages and tobacco,Total,Total,Monthly,2020-03,271315
Beverages and tobacco,Total,Total,Monthly,2020-04,304696
Beverages and tobacco,Total,Total,Monthly,2020-05,235246
Beverages and tobacco,Total,Total,Monthly,2020-06,268748
Beverages and tobacco,Total,Total,Monthly,2020-07,285463
Beverages and tobacco,Total,Total,Monthly,2020-08,303631
Beverages and tobacco,Total,Total,Monthly,2020-09,264068
Beverages and tobacco,Total,Total,Monthly,2020-10,323795
Beverages and tobacco,Total,Total,Monthly,2020-11,428139
Beverages and tobacco,Total,Total,Monthly,2020-12,314367
Beverages and tobacco,Total,Total,Monthly,2021-01,270029
Beverages and tobacco,Total,Total,Monthly,2021-02,274028
Beverages and tobacco,Total,Total,Monthly,2021-03,276062
Beverages and tobacco,Total,Total,Monthly,2021-04,250948
Beverages and tobacco,Total,Total,Monthly,2021-05,275523
Beverages and tobacco,Total,Total,Monthly,2021-06,239167
Beverages and tobacco,Total,Total,Monthly,2021-07,272652
Beverages and tobacco,Total,Total,Monthly,2021-08,322605
Beverages and tobacco,Total,Total,Monthly,2021-09,324893
Beverages and tobacco,Total,Total,Monthly,2021-10,324187
Beverages and tobacco,Total,Total,Monthly,2021-11,329540
Beverages and tobacco,Total,Total,Monthly,2021-12,288442
Beverages and tobacco,Total,Total,Monthly,2022-01,267247
Beverages and tobacco,Total,Total,Monthly,2022-02,261350
Beverages and tobacco,Total,Total,Monthly,2022-03,305492
Beverages and tobacco,Total,Total,Monthly,2022-04,257329
Beverages and tobacco,Total,Total,Monthly,2022-05,307427
Beverages and tobacco,Total,Total,Monthly,2022-06,277211
Beverages and tobacco,Total,Total,Monthly,2022-07,316218
Beverages and tobacco,Total,Total,Monthly,2022-08,366762
Beverages and tobacco,Total,Total,Monthly,2022-09,373222
Beverages and tobacco,Total,Total,Monthly,2022-10,380420
Beverages and tobacco,Total,Total,Monthly,2022-11,405959
Beverages and tobacco,Total,Total,Monthly,2022-12,333781
Beverages and tobacco,Total,Total,Monthly,2023-01,325746
Beverages and tobacco,Total,Total,Monthly,2023-02,278214
Beverages and tobacco,Total,Total,Monthly,2023-03,281915
Beverages and tobacco,Total,Total,Monthly,2023-04,232581
Beverages and tobacco,Total,Total,Monthly,2023-05,267606
Beverages and tobacco,Total,Total,Monthly,2023-06,284043
Beverages and tobacco,Total,Total,Monthly,2023-07,317111
Beverages and tobacco,Total,Total,Monthly,2023-08,358365
Beverages and tobacco,Total,Total,Monthly,2023-09,291674
Beverages and tobacco,Total,Total,Monthly,2023-10,339850
Beverages and tobacco,Total,Total,Monthly,2023-11,294792
Beverages and tobacco,Total,Total,Monthly,2023-12,244903
Beverages and tobacco,Total,Total,Monthly,2024-01,277437
Beverages and tobacco,Total,Total,Monthly,2024-02,276612
Beverages and tobacco,Total,Total,Monthly,2024-03,264541
Beverages and tobacco,Total,Total,Monthly,2024-04,246754
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2000-07,747157
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2000-08,970707
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2000-09,808396
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2000-10,1034187
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2000-11,953325
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2000-12,878164
