MEASURE,DATA_ITEM,EXP_IMP,TSEST,FREQ,TIME_PERIOD,value
Implicit Price Indexes,Watches and clocks,Imports,Original,Quarterly,2023-Q3,100.0
Implicit Price Indexes,Watches and clocks,Imports,Original,Quarterly,2023-Q4,101.6
Implicit Price Indexes,Watches and clocks,Imports,Original,Quarterly,2024-Q1,103.1
Implicit Price Indexes,Pumps for liquids,Imports,Original,Quarterly,2020-Q1,103.9
Implicit Price Indexes,Pumps for liquids,Imports,Original,Quarterly,2020-Q2,109.5
Implicit Price Indexes,Pumps for liquids,Imports,Original,Quarterly,2020-Q3,98.7
Implicit Price Indexes,Pumps for liquids,Imports,Original,Quarterly,2020-Q4,98.9
Implicit Price Indexes,Pumps for liquids,Imports,Original,Quarterly,2021-Q1,93.8
Implicit Price Indexes,Pumps for liquids,Imports,Original,Quarterly,2021-Q2,93.8
Implicit Price Indexes,Pumps for liquids,Imports,Original,Quarterly,2021-Q3,98.5
Implicit Price Indexes,Pumps for liquids,Imports,Original,Quarterly,2021-Q4,99.8
Implicit Price Indexes,Pumps for liquids,Imports,Original,Quarterly,2022-Q1,100.6
Implicit Price Indexes,Pumps for liquids,Imports,Original,Quarterly,2022-Q2,101.1
Implicit Price Indexes,Pumps for liquids,Imports,Original,Quarterly,2022-Q3,106.1
Implicit Price Indexes,Pumps for liquids,Imports,Original,Quarterly,2022-Q4,111.7
Implicit Price Indexes,Pumps for liquids,Imports,Original,Quarterly,2023-Q1,118.6
Implicit Price Indexes,Pumps for liquids,Imports,Original,Quarterly,2023-Q2,117.2
Implicit Price Indexes,Pumps for liquids,Imports,Original,Quarterly,2023-Q3,118.5
Implicit Price Indexes,Pumps for liquids,Imports,Original,Quarterly,2023-Q4,119.5
Implicit Price Indexes,Pumps for liquids,Imports,Original,Quarterly,2024-Q1,117.5
Chain Volume Measures,Filtering and purifying machines,Imports,Original,Quarterly,2020-Q1,-297.0
Chain Volume Measures,Filtering and purifying machines,Imports,Original,Quarterly,2020-Q2,-353.0
Chain Volume Measures,Filtering and purifying machines,Imports,Original,Quarterly,2020-Q3,-355.0
Chain Volume Measures,Filtering and purifying machines,Imports,Original,Quarterly,2020-Q4,-416.0
Chain Volume Measures,Filtering and purifying machines,Imports,Original,Quarterly,2021-Q1,-305.0
Chain Volume Measures,Filtering and purifying machines,Imports,Original,Quarterly,2021-Q2,-336.0
Chain Volume Measures,Filtering and purifying machines,Imports,Original,Quarterly,2021-Q3,-345.0
Chain Volume Measures,Filtering and purifying machines,Imports,Original,Quarterly,2021-Q4,-402.0
Chain Volume Measures,Filtering and purifying machines,Imports,Original,Quarterly,2022-Q1,-397.0
Chain Volume Measures,Filtering and purifying machines,Imports,Original,Quarterly,2022-Q2,-435.0
Chain Volume Measures,Filtering and purifying machines,Imports,Original,Quarterly,2022-Q3,-400.0
Chain Volume Measures,Filtering and purifying machines,Imports,Original,Quarterly,2022-Q4,-373.0
Chain Volume Measures,Filtering and purifying machines,Imports,Original,Quarterly,2023-Q1,-340.0
Chain Volume Measures,Filtering and purifying machines,Imports,Original,Quarterly,2023-Q2,-345.0
Chain Volume Measures,Filtering and purifying machines,Imports,Original,Quarterly,2023-Q3,-340.0
Chain Volume Measures,Filtering and purifying machines,Imports,Original,Quarterly,2023-Q4,-320.0
Chain Volume Measures,Filtering and purifying machines,Imports,Original,Quarterly,2024-Q1,-367.0
Implicit Price Indexes,Adp equipment,Imports,Original,Quarterly,2020-Q1,108.0
Implicit Price Indexes,Adp equipment,Imports,Original,Quarterly,2020-Q2,107.7
Implicit Price Indexes,Adp equipment,Imports,Original,Quarterly,2020-Q3,99.1
Implicit Price Indexes,Adp equipment,Imports,Original,Quarterly,2020-Q4,97.6
Implicit Price Indexes,Adp equipment,Imports,Original,Quarterly,2021-Q1,91.7
Implicit Price Indexes,Adp equipment,Imports,Original,Quarterly,2021-Q2,92.3
Implicit Price Indexes,Adp equipment,Imports,Original,Quarterly,2021-Q3,97.2
Implicit Price Indexes,Adp equipment,Imports,Original,Quarterly,2021-Q4,99.2
Implicit Price Indexes,Adp equipment,Imports,Original,Quarterly,2022-Q1,100.4
Implicit Price Indexes,Adp equipment,Imports,Original,Quarterly,2022-Q2,103.2
Implicit Price Indexes,Adp equipment,Imports,Original,Quarterly,2022-Q3,109.2
Implicit Price Indexes,Adp equipment,Imports,Original,Quarterly,2022-Q4,113.6
Implicit Price Indexes,Adp equipment,Imports,Original,Quarterly,2023-Q1,109.6
Implicit Price Indexes,Adp equipment,Imports,Original,Quarterly,2023-Q2,112.8
Implicit Price Indexes,Adp equipment,Imports,Original,Quarterly,2023-Q3,113.9
Implicit Price Indexes,Adp equipment,Imports,Original,Quarterly,2023-Q4,114.4
Implicit Price Indexes,Adp equipment,Imports,Original,Quarterly,2024-Q1,113.3
Chain Volume Measures,Food and beverages mainly for industry,Imports,Original,Quarterly,2020-Q1,-682.0
Chain Volume Measures,Food and beverages mainly for industry,Imports,Original,Quarterly,2020-Q2,-688.0
Chain Volume Measures,Food and beverages mainly for industry,Imports,Original,Quarterly,2020-Q3,-731.0
Chain Volume Measures,Food and beverages mainly for industry,Imports,Original,Quarterly,2020-Q4,-653.0
Chain Volume Measures,Food and beverages mainly for industry,Imports,Original,Quarterly,2021-Q1,-677.0
Chain Volume Measures,Food and beverages mainly for industry,Imports,Original,Quarterly,2021-Q2,-610.0
Chain Volume Measures,Food and beverages mainly for industry,Imports,Original,Quarterly,2021-Q3,-602.0
Chain Volume Measures,Food and beverages mainly for industry,Imports,Original,Quarterly,2021-Q4,-623.0
Chain Volume Measures,Food and beverages mainly for industry,Imports,Original,Quarterly,2022-Q1,-564.0
Chain Volume Measures,Food and beverages mainly for industry,Imports,Original,Quarterly,2022-Q2,-629.0
Chain Volume Measures,Food and beverages mainly for industry,Imports,Original,Quarterly,2022-Q3,-612.0
Chain Volume Measures,Food and beverages mainly for industry,Imports,Original,Quarterly,2022-Q4,-630.0
Chain Volume Measures,Food and beverages mainly for industry,Imports,Original,Quarterly,2023-Q1,-624.0
Chain Volume Measures,Food and beverages mainly for industry,Imports,Original,Quarterly,2023-Q2,-548.0
Chain Volume Measures,Food and beverages mainly for industry,Imports,Original,Quarterly,2023-Q3,-545.0
Chain Volume Measures,Food and beverages mainly for industry,Imports,Original,Quarterly,2023-Q4,-522.0
Chain Volume Measures,Food and beverages mainly for industry,Imports,Original,Quarterly,2024-Q1,-591.0
Implicit Price Indexes,Other petroleum products,Imports,Original,Quarterly,2020-Q1,67.2
Implicit Price Indexes,Other petroleum products,Imports,Original,Quarterly,2020-Q2,45.2
Implicit Price Indexes,Other petroleum products,Imports,Original,Quarterly,2020-Q3,45.7
Implicit Price Indexes,Other petroleum products,Imports,Original,Quarterly,2020-Q4,45.8
Implicit Price Indexes,Other petroleum products,Imports,Original,Quarterly,2021-Q1,60.2
Implicit Price Indexes,Other petroleum products,Imports,Original,Quarterly,2021-Q2,64.3
Implicit Price Indexes,Other petroleum products,Imports,Original,Quarterly,2021-Q3,71.9
Implicit Price Indexes,Other petroleum products,Imports,Original,Quarterly,2021-Q4,84.1
Implicit Price Indexes,Other petroleum products,Imports,Original,Quarterly,2022-Q1,100.5
