MEASURE,DATA_ITEM,TSEST,FREQ,TIME_PERIOD,value
Current Prices,"Financial account, Financial derivatives liabilities",Original,Quarterly,2022-Q1,-51563
Current Prices,"Financial account, Financial derivatives liabilities",Original,Quarterly,2022-Q2,-77484
Current Prices,"Financial account, Financial derivatives liabilities",Original,Quarterly,2022-Q3,-111840
Current Prices,"Financial account, Financial derivatives liabilities",Original,Quarterly,2022-Q4,-106218
Current Prices,"Financial account, Financial derivatives liabilities",Original,Quarterly,2023-Q1,-94557
Current Prices,"Financial account, Financial derivatives liabilities",Original,Quarterly,2023-Q2,-69852
Current Prices,"Financial account, Financial derivatives liabilities",Original,Quarterly,2023-Q3,-67373
Current Prices,"Financial account, Financial derivatives liabilities",Original,Quarterly,2023-Q4,-188307
Current Prices,"Financial account, Financial derivatives liabilities",Original,Quarterly,2024-Q1,-161435
Current Prices,Primary income,Original,Quarterly,2022-Q1,-26762
Current Prices,Primary income,Original,Quarterly,2022-Q2,-25553
Current Prices,Primary income,Original,Quarterly,2022-Q3,-35900
Current Prices,Primary income,Original,Quarterly,2022-Q4,-23694
Current Prices,Primary income,Original,Quarterly,2023-Q1,-31680
Current Prices,Primary income,Original,Quarterly,2023-Q2,-17058
Current Prices,Primary income,Original,Quarterly,2023-Q3,-26204
Current Prices,Primary income,Original,Quarterly,2023-Q4,-17184
Current Prices,Primary income,Original,Quarterly,2024-Q1,-25816
Current Prices,"Financial account, Financial derivatives",Original,Quarterly,2022-Q1,-2805
Current Prices,"Financial account, Financial derivatives",Original,Quarterly,2022-Q2,-1774
Current Prices,"Financial account, Financial derivatives",Original,Quarterly,2022-Q3,5990
Current Prices,"Financial account, Financial derivatives",Original,Quarterly,2022-Q4,-9969
Current Prices,"Financial account, Financial derivatives",Original,Quarterly,2023-Q1,-5472
Current Prices,"Financial account, Financial derivatives",Original,Quarterly,2023-Q2,-239
Current Prices,"Financial account, Financial derivatives",Original,Quarterly,2023-Q3,8592
Current Prices,"Financial account, Financial derivatives",Original,Quarterly,2023-Q4,-35795
Current Prices,"Financial account, Financial derivatives",Original,Quarterly,2024-Q1,-7113
Current Prices,Net errors and omissions,Original,Quarterly,2022-Q1,4919
Current Prices,Net errors and omissions,Original,Quarterly,2022-Q2,-3931
Current Prices,Net errors and omissions,Original,Quarterly,2022-Q3,3848
Current Prices,Net errors and omissions,Original,Quarterly,2022-Q4,-637
Current Prices,Net errors and omissions,Original,Quarterly,2023-Q1,5951
Current Prices,Net errors and omissions,Original,Quarterly,2023-Q2,3531
Current Prices,Net errors and omissions,Original,Quarterly,2023-Q3,4234
Current Prices,Net errors and omissions,Original,Quarterly,2023-Q4,1645
Current Prices,Net errors and omissions,Original,Quarterly,2024-Q1,-3396
Current Prices,Secondary income,Original,Quarterly,2022-Q1,-1056
Current Prices,Secondary income,Original,Quarterly,2022-Q2,-1192
Current Prices,Secondary income,Original,Quarterly,2022-Q3,-112
Current Prices,Secondary income,Original,Quarterly,2022-Q4,-20
Current Prices,Secondary income,Original,Quarterly,2023-Q1,-684
Current Prices,Secondary income,Original,Quarterly,2023-Q2,-865
Current Prices,Secondary income,Original,Quarterly,2023-Q3,-555
Current Prices,Secondary income,Original,Quarterly,2023-Q4,89
Current Prices,Secondary income,Original,Quarterly,2024-Q1,-592
Current Prices,Current account,Original,Quarterly,2022-Q1,1219
Current Prices,Current account,Original,Quarterly,2022-Q2,19157
Current Prices,Current account,Original,Quarterly,2022-Q3,-9852
Current Prices,Current account,Original,Quarterly,2022-Q4,10257
Current Prices,Current account,Original,Quarterly,2023-Q1,5709
Current Prices,Current account,Original,Quarterly,2023-Q2,8321
Current Prices,Current account,Original,Quarterly,2023-Q3,-14202
Current Prices,Current account,Original,Quarterly,2023-Q4,6960
Current Prices,Current account,Original,Quarterly,2024-Q1,-4911
Current Prices,"Capital account credits, Capital transfers",Original,Quarterly,2022-Q1,0
Current Prices,"Capital account credits, Capital transfers",Original,Quarterly,2022-Q2,0
Current Prices,"Capital account credits, Capital transfers",Original,Quarterly,2022-Q3,0
Current Prices,"Capital account credits, Capital transfers",Original,Quarterly,2022-Q4,0
Current Prices,"Capital account credits, Capital transfers",Original,Quarterly,2023-Q1,0
Current Prices,"Capital account credits, Capital transfers",Original,Quarterly,2023-Q2,0
Current Prices,"Capital account credits, Capital transfers",Original,Quarterly,2023-Q3,0
Current Prices,"Capital account credits, Capital transfers",Original,Quarterly,2023-Q4,0
Current Prices,"Capital account credits, Capital transfers",Original,Quarterly,2024-Q1,0
Current Prices,"Capital account debits, Capital transfers",Original,Quarterly,2022-Q1,-188
Current Prices,"Capital account debits, Capital transfers",Original,Quarterly,2022-Q2,-267
Current Prices,"Capital account debits, Capital transfers",Original,Quarterly,2022-Q3,-168
Current Prices,"Capital account debits, Capital transfers",Original,Quarterly,2022-Q4,-115
Current Prices,"Capital account debits, Capital transfers",Original,Quarterly,2023-Q1,-120
Current Prices,"Capital account debits, Capital transfers",Original,Quarterly,2023-Q2,-139
Current Prices,"Capital account debits, Capital transfers",Original,Quarterly,2023-Q3,-119
Current Prices,"Capital account debits, Capital transfers",Original,Quarterly,2023-Q4,-130
Current Prices,"Capital account debits, Capital transfers",Original,Quarterly,2024-Q1,-135
Current Prices,"Financial account, Direct investment",Original,Quarterly,2022-Q1,-55143
Current Prices,"Financial account, Direct investment",Original,Quarterly,2022-Q2,-5120
Current Prices,"Financial account, Direct investment",Original,Quarterly,2022-Q3,4379
Current Prices,"Financial account, Direct investment",Original,Quarterly,2022-Q4,-23016
Current Prices,"Financial account, Direct investment",Original,Quarterly,2023-Q1,1721
Current Prices,"Financial account, Direct investment",Original,Quarterly,2023-Q2,885
