COMMODITY_SITC,COUNTRY_DEST,STATE_ORIGIN,FREQ,TIME_PERIOD,value
Beverages and tobacco,Total,Total,Monthly,2009-01,164143
Beverages and tobacco,Total,Total,Monthly,2009-02,208355
Beverages and tobacco,Total,Total,Monthly,2009-03,234384
Beverages and tobacco,Total,Total,Monthly,2009-04,201341
Beverages and tobacco,Total,Total,Monthly,2009-05,238686
Beverages and tobacco,Total,Total,Monthly,2009-06,228388
Beverages and tobacco,Total,Total,Monthly,2009-07,215087
Beverages and tobacco,Total,Total,Monthly,2009-08,222729
Beverages and tobacco,Total,Total,Monthly,2009-09,250351
Beverages and tobacco,Total,Total,Monthly,2009-10,222737
Beverages and tobacco,Total,Total,Monthly,2009-11,175174
Beverages and tobacco,Total,Total,Monthly,2009-12,229672
Beverages and tobacco,Total,Total,Monthly,2010-01,144726
Beverages and tobacco,Total,Total,Monthly,2010-02,183928
Beverages and tobacco,Total,Total,Monthly,2010-03,220065
Beverages and tobacco,Total,Total,Monthly,2010-04,188427
Beverages and tobacco,Total,Total,Monthly,2010-05,228953
Beverages and tobacco,Total,Total,Monthly,2010-06,193624
Beverages and tobacco,Total,Total,Monthly,2010-07,196572
Beverages and tobacco,Total,Total,Monthly,2010-08,225376
Beverages and tobacco,Total,Total,Monthly,2010-09,217116
Beverages and tobacco,Total,Total,Monthly,2010-10,213691
Beverages and tobacco,Total,Total,Monthly,2010-11,175522
Beverages and tobacco,Total,Total,Monthly,2010-12,229697
Beverages and tobacco,Total,Total,Monthly,2011-01,135574
Beverages and tobacco,Total,Total,Monthly,2011-02,173627
Beverages and tobacco,Total,Total,Monthly,2011-03,183956
Beverages and tobacco,Total,Total,Monthly,2011-04,185897
Beverages and tobacco,Total,Total,Monthly,2011-05,186145
Beverages and tobacco,Total,Total,Monthly,2011-06,177921
Beverages and tobacco,Total,Total,Monthly,2011-07,186010
Beverages and tobacco,Total,Total,Monthly,2011-08,207957
Beverages and tobacco,Total,Total,Monthly,2011-09,195545
Beverages and tobacco,Total,Total,Monthly,2011-10,207685
Beverages and tobacco,Total,Total,Monthly,2011-11,173648
Beverages and tobacco,Total,Total,Monthly,2011-12,194359
Beverages and tobacco,Total,Total,Monthly,2012-01,138372
Beverages and tobacco,Total,Total,Monthly,2012-02,173835
Beverages and tobacco,Total,Total,Monthly,2012-03,158925
Beverages and tobacco,Total,Total,Monthly,2012-04,179533
Beverages and tobacco,Total,Total,Monthly,2012-05,189085
Beverages and tobacco,Total,Total,Monthly,2012-06,180754
Beverages and tobacco,Total,Total,Monthly,2012-07,197428
Beverages and tobacco,Total,Total,Monthly,2012-08,192431
Beverages and tobacco,Total,Total,Monthly,2012-09,171745
Beverages and tobacco,Total,Total,Monthly,2012-10,191133
Beverages and tobacco,Total,Total,Monthly,2012-11,179612
Beverages and tobacco,Total,Total,Monthly,2012-12,199197
Beverages and tobacco,Total,Total,Monthly,2013-01,135900
Beverages and tobacco,Total,Total,Monthly,2013-02,161240
Beverages and tobacco,Total,Total,Monthly,2013-03,174230
Beverages and tobacco,Total,Total,Monthly,2013-04,162965
Beverages and tobacco,Total,Total,Monthly,2013-05,178020
Beverages and tobacco,Total,Total,Monthly,2013-06,177978
Beverages and tobacco,Total,Total,Monthly,2013-07,180130
Beverages and tobacco,Total,Total,Monthly,2013-08,182235
Beverages and tobacco,Total,Total,Monthly,2013-09,179528
Beverages and tobacco,Total,Total,Monthly,2013-10,187003
Beverages and tobacco,Total,Total,Monthly,2013-11,172391
Beverages and tobacco,Total,Total,Monthly,2013-12,211179
Beverages and tobacco,Total,Total,Monthly,2014-01,138364
Beverages and tobacco,Total,Total,Monthly,2014-02,162826
Beverages and tobacco,Total,Total,Monthly,2014-03,179009
Beverages and tobacco,Total,Total,Monthly,2014-04,156647
Beverages and tobacco,Total,Total,Monthly,2014-05,202595
Beverages and tobacco,Total,Total,Monthly,2014-06,176836
Beverages and tobacco,Total,Total,Monthly,2014-07,183731
Beverages and tobacco,Total,Total,Monthly,2014-08,177540
Beverages and tobacco,Total,Total,Monthly,2014-09,184461
Beverages and tobacco,Total,Total,Monthly,2014-10,199551
Beverages and tobacco,Total,Total,Monthly,2014-11,173602
Beverages and tobacco,Total,Total,Monthly,2014-12,214286
Beverages and tobacco,Total,Total,Monthly,2015-01,152424
Beverages and tobacco,Total,Total,Monthly,2015-02,189946
