COMMODITY_SITC,COUNTRY_DEST,STATE_ORIGIN,FREQ,TIME_PERIOD,value
"Crude materials, inedible, except fuels",Total,Total,Monthly,2010-08,6768947
"Crude materials, inedible, except fuels",Total,Total,Monthly,2010-09,6962030
"Crude materials, inedible, except fuels",Total,Total,Monthly,2010-10,6876228
"Crude materials, inedible, except fuels",Total,Total,Monthly,2010-11,6769820
"Crude materials, inedible, except fuels",Total,Total,Monthly,2010-12,7457164
"Crude materials, inedible, except fuels",Total,Total,Monthly,2011-01,6496752
"Crude materials, inedible, except fuels",Total,Total,Monthly,2011-02,6093952
"Crude materials, inedible, except fuels",Total,Total,Monthly,2011-03,7919426
"Crude materials, inedible, except fuels",Total,Total,Monthly,2011-04,7650629
"Crude materials, inedible, except fuels",Total,Total,Monthly,2011-05,8131901
"Crude materials, inedible, except fuels",Total,Total,Monthly,2011-06,8652010
"Crude materials, inedible, except fuels",Total,Total,Monthly,2011-07,8171470
"Crude materials, inedible, except fuels",Total,Total,Monthly,2011-08,8996222
"Crude materials, inedible, except fuels",Total,Total,Monthly,2011-09,8945828
"Crude materials, inedible, except fuels",Total,Total,Monthly,2011-10,8807849
"Crude materials, inedible, except fuels",Total,Total,Monthly,2011-11,7539351
"Crude materials, inedible, except fuels",Total,Total,Monthly,2011-12,8378468
"Crude materials, inedible, except fuels",Total,Total,Monthly,2012-01,6059251
"Crude materials, inedible, except fuels",Total,Total,Monthly,2012-02,6709118
"Crude materials, inedible, except fuels",Total,Total,Monthly,2012-03,7216322
"Crude materials, inedible, except fuels",Total,Total,Monthly,2012-04,7871469
"Crude materials, inedible, except fuels",Total,Total,Monthly,2012-05,8266728
"Crude materials, inedible, except fuels",Total,Total,Monthly,2012-06,7984707
"Crude materials, inedible, except fuels",Total,Total,Monthly,2012-07,7554155
"Crude materials, inedible, except fuels",Total,Total,Monthly,2012-08,6903901
"Crude materials, inedible, except fuels",Total,Total,Monthly,2012-09,6163556
"Crude materials, inedible, except fuels",Total,Total,Monthly,2012-10,6581898
"Crude materials, inedible, except fuels",Total,Total,Monthly,2012-11,6719901
"Crude materials, inedible, except fuels",Total,Total,Monthly,2012-12,8201885
"Crude materials, inedible, except fuels",Total,Total,Monthly,2013-01,6548214
"Crude materials, inedible, except fuels",Total,Total,Monthly,2013-02,7132705
"Crude materials, inedible, except fuels",Total,Total,Monthly,2013-03,8182597
"Crude materials, inedible, except fuels",Total,Total,Monthly,2013-04,8181250
"Crude materials, inedible, except fuels",Total,Total,Monthly,2013-05,8581102
"Crude materials, inedible, except fuels",Total,Total,Monthly,2013-06,8396196
"Crude materials, inedible, except fuels",Total,Total,Monthly,2013-07,8320369
"Crude materials, inedible, except fuels",Total,Total,Monthly,2013-08,9081380
"Crude materials, inedible, except fuels",Total,Total,Monthly,2013-09,9213084
"Crude materials, inedible, except fuels",Total,Total,Monthly,2013-10,8923687
"Crude materials, inedible, except fuels",Total,Total,Monthly,2013-11,8791610
"Crude materials, inedible, except fuels",Total,Total,Monthly,2013-12,10407333
"Crude materials, inedible, except fuels",Total,Total,Monthly,2014-01,8619295
"Crude materials, inedible, except fuels",Total,Total,Monthly,2014-02,8746257
"Crude materials, inedible, except fuels",Total,Total,Monthly,2014-03,9237117
"Crude materials, inedible, except fuels",Total,Total,Monthly,2014-04,8747892
"Crude materials, inedible, except fuels",Total,Total,Monthly,2014-05,8271190
"Crude materials, inedible, except fuels",Total,Total,Monthly,2014-06,7932707
"Crude materials, inedible, except fuels",Total,Total,Monthly,2014-07,7939087
"Crude materials, inedible, except fuels",Total,Total,Monthly,2014-08,7995362
"Crude materials, inedible, except fuels",Total,Total,Monthly,2014-09,7251229
"Crude materials, inedible, except fuels",Total,Total,Monthly,2014-10,7454841
"Crude materials, inedible, except fuels",Total,Total,Monthly,2014-11,7027169
"Crude materials, inedible, except fuels",Total,Total,Monthly,2014-12,8214815
"Crude materials, inedible, except fuels",Total,Total,Monthly,2015-01,6896388
"Crude materials, inedible, except fuels",Total,Total,Monthly,2015-02,6698928
"Crude materials, inedible, except fuels",Total,Total,Monthly,2015-03,6999061
"Crude materials, inedible, except fuels",Total,Total,Monthly,2015-04,6037060
"Crude materials, inedible, except fuels",Total,Total,Monthly,2015-05,7039637
"Crude materials, inedible, except fuels",Total,Total,Monthly,2015-06,7451563
"Crude materials, inedible, except fuels",Total,Total,Monthly,2015-07,6522214
"Crude materials, inedible, except fuels",Total,Total,Monthly,2015-08,6879375
"Crude materials, inedible, except fuels",Total,Total,Monthly,2015-09,7346659
"Crude materials, inedible, except fuels",Total,Total,Monthly,2015-10,6908922
"Crude materials, inedible, except fuels",Total,Total,Monthly,2015-11,6458120
"Crude materials, inedible, except fuels",Total,Total,Monthly,2015-12,6301419
"Crude materials, inedible, except fuels",Total,Total,Monthly,2016-01,4986785
"Crude materials, inedible, except fuels",Total,Total,Monthly,2016-02,5953681
"Crude materials, inedible, except fuels",Total,Total,Monthly,2016-03,6539873
"Crude materials, inedible, except fuels",Total,Total,Monthly,2016-04,6458950
"Crude materials, inedible, except fuels",Total,Total,Monthly,2016-05,6904602
"Crude materials, inedible, except fuels",Total,Total,Monthly,2016-06,6797679
"Crude materials, inedible, except fuels",Total,Total,Monthly,2016-07,6456486
"Crude materials, inedible, except fuels",Total,Total,Monthly,2016-08,7251753
"Crude materials, inedible, except fuels",Total,Total,Monthly,2016-09,7225373
"Crude materials, inedible, except fuels",Total,Total,Monthly,2016-10,6923219
"Crude materials, inedible, except fuels",Total,Total,Monthly,2016-11,8071896
"Crude materials, inedible, except fuels",Total,Total,Monthly,2016-12,10049530
"Crude materials, inedible, except fuels",Total,Total,Monthly,2017-01,8178026
"Crude materials, inedible, except fuels",Total,Total,Monthly,2017-02,8263135
"Crude materials, inedible, except fuels",Total,Total,Monthly,2017-03,9423107
"Crude materials, inedible, except fuels",Total,Total,Monthly,2017-04,8620791
"Crude materials, inedible, except fuels",Total,Total,Monthly,2017-05,7955716
"Crude materials, inedible, except fuels",Total,Total,Monthly,2017-06,7407608
"Crude materials, inedible, except fuels",Total,Total,Monthly,2017-07,7613719
"Crude materials, inedible, except fuels",Total,Total,Monthly,2017-08,8436233
"Crude materials, inedible, except fuels",Total,Total,Monthly,2017-09,8611666
"Crude materials, inedible, except fuels",Total,Total,Monthly,2017-10,7670059
"Crude materials, inedible, except fuels",Total,Total,Monthly,2017-11,7979325
"Crude materials, inedible, except fuels",Total,Total,Monthly,2017-12,9312733
"Crude materials, inedible, except fuels",Total,Total,Monthly,2018-01,7623534
"Crude materials, inedible, except fuels",Total,Total,Monthly,2018-02,8135085
"Crude materials, inedible, except fuels",Total,Total,Monthly,2018-03,8678166
"Crude materials, inedible, except fuels",Total,Total,Monthly,2018-04,8540683
"Crude materials, inedible, except fuels",Total,Total,Monthly,2018-05,9206103
"Crude materials, inedible, except fuels",Total,Total,Monthly,2018-06,9273037
"Crude materials, inedible, except fuels",Total,Total,Monthly,2018-07,8562337
"Crude materials, inedible, except fuels",Total,Total,Monthly,2018-08,8782642
"Crude materials, inedible, except fuels",Total,Total,Monthly,2018-09,9266010
"Crude materials, inedible, except fuels",Total,Total,Monthly,2018-10,9314494
"Crude materials, inedible, except fuels",Total,Total,Monthly,2018-11,9210441
"Crude materials, inedible, except fuels",Total,Total,Monthly,2018-12,10287304
"Crude materials, inedible, except fuels",Total,Total,Monthly,2019-01,8923383
"Crude materials, inedible, except fuels",Total,Total,Monthly,2019-02,9836245
"Crude materials, inedible, except fuels",Total,Total,Monthly,2019-03,9955006
"Crude materials, inedible, except fuels",Total,Total,Monthly,2019-04,10724474
"Crude materials, inedible, except fuels",Total,Total,Monthly,2019-05,12829780
"Crude materials, inedible, except fuels",Total,Total,Monthly,2019-06,13256415
"Crude materials, inedible, except fuels",Total,Total,Monthly,2019-07,12998697
"Crude materials, inedible, except fuels",Total,Total,Monthly,2019-08,12205251
"Crude materials, inedible, except fuels",Total,Total,Monthly,2019-09,11490890
"Crude materials, inedible, except fuels",Total,Total,Monthly,2019-10,10670793
"Crude materials, inedible, except fuels",Total,Total,Monthly,2019-11,11042283
"Crude materials, inedible, except fuels",Total,Total,Monthly,2019-12,12482557
"Crude materials, inedible, except fuels",Total,Total,Monthly,2020-01,9992935
"Crude materials, inedible, except fuels",Total,Total,Monthly,2020-02,9154739
"Crude materials, inedible, except fuels",Total,Total,Monthly,2020-03,12719439
"Crude materials, inedible, except fuels",Total,Total,Monthly,2020-04,11968418
"Crude materials, inedible, except fuels",Total,Total,Monthly,2020-05,12317627
"Crude materials, inedible, except fuels",Total,Total,Monthly,2020-06,13481825
"Crude materials, inedible, except fuels",Total,Total,Monthly,2020-07,11801533
"Crude materials, inedible, except fuels",Total,Total,Monthly,2020-08,13004273
"Crude materials, inedible, except fuels",Total,Total,Monthly,2020-09,13082958
"Crude materials, inedible, except fuels",Total,Total,Monthly,2020-10,14163655
"Crude materials, inedible, except fuels",Total,Total,Monthly,2020-11,13271691
"Crude materials, inedible, except fuels",Total,Total,Monthly,2020-12,17008134
"Crude materials, inedible, except fuels",Total,Total,Monthly,2021-01,15233654
"Crude materials, inedible, except fuels",Total,Total,Monthly,2021-02,14626563
"Crude materials, inedible, except fuels",Total,Total,Monthly,2021-03,17747884
"Crude materials, inedible, except fuels",Total,Total,Monthly,2021-04,17642886
"Crude materials, inedible, except fuels",Total,Total,Monthly,2021-05,20323734
"Crude materials, inedible, except fuels",Total,Total,Monthly,2021-06,21840037
"Crude materials, inedible, except fuels",Total,Total,Monthly,2021-07,20154853
"Crude materials, inedible, except fuels",Total,Total,Monthly,2021-08,17815606
"Crude materials, inedible, except fuels",Total,Total,Monthly,2021-09,14266199
"Crude materials, inedible, except fuels",Total,Total,Monthly,2021-10,11902469
"Crude materials, inedible, except fuels",Total,Total,Monthly,2021-11,11980165
"Crude materials, inedible, except fuels",Total,Total,Monthly,2021-12,14643775
"Crude materials, inedible, except fuels",Total,Total,Monthly,2022-01,14344985
"Crude materials, inedible, except fuels",Total,Total,Monthly,2022-02,13627652
"Crude materials, inedible, except fuels",Total,Total,Monthly,2022-03,16186135
"Crude materials, inedible, except fuels",Total,Total,Monthly,2022-04,15710076
"Crude materials, inedible, except fuels",Total,Total,Monthly,2022-05,16878339
"Crude materials, inedible, except fuels",Total,Total,Monthly,2022-06,17997572
"Crude materials, inedible, except fuels",Total,Total,Monthly,2022-07,14409913
"Crude materials, inedible, except fuels",Total,Total,Monthly,2022-08,15081043
"Crude materials, inedible, except fuels",Total,Total,Monthly,2022-09,15655750
"Crude materials, inedible, except fuels",Total,Total,Monthly,2022-10,15116459
"Crude materials, inedible, except fuels",Total,Total,Monthly,2022-11,16258395
"Crude materials, inedible, except fuels",Total,Total,Monthly,2022-12,17029667
"Crude materials, inedible, except fuels",Total,Total,Monthly,2023-01,16855369
"Crude materials, inedible, except fuels",Total,Total,Monthly,2023-02,14522879
"Crude materials, inedible, except fuels",Total,Total,Monthly,2023-03,18956641
"Crude materials, inedible, except fuels",Total,Total,Monthly,2023-04,15602847
"Crude materials, inedible, except fuels",Total,Total,Monthly,2023-05,16635851
"Crude materials, inedible, except fuels",Total,Total,Monthly,2023-06,17692502
"Crude materials, inedible, except fuels",Total,Total,Monthly,2023-07,15279348
"Crude materials, inedible, except fuels",Total,Total,Monthly,2023-08,16730821
"Crude materials, inedible, except fuels",Total,Total,Monthly,2023-09,16941680
"Crude materials, inedible, except fuels",Total,Total,Monthly,2023-10,17695178
"Crude materials, inedible, except fuels",Total,Total,Monthly,2023-11,17472615
"Crude materials, inedible, except fuels",Total,Total,Monthly,2023-12,18473304
"Crude materials, inedible, except fuels",Total,Total,Monthly,2024-01,15848115
"Crude materials, inedible, except fuels",Total,Total,Monthly,2024-02,14262640
"Crude materials, inedible, except fuels",Total,Total,Monthly,2024-03,15709782
"Crude materials, inedible, except fuels",Total,Total,Monthly,2024-04,14149502
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2000-01,1573116
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2000-02,1609670
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2000-03,1651322
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2000-04,1666644
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2000-05,1762555
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2000-06,1921252
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2000-07,2102322
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2000-08,1879196
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2000-09,2112539
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2000-10,2269326
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2000-11,2170994
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2000-12,2321939
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2001-01,2007801
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2001-02,1887685
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2001-03,1997378
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2001-04,2162923
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2001-05,2173565
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2001-06,2120328
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2001-07,2306063
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2001-08,2179493
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2001-09,2380024
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2001-10,2143419
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2001-11,2017077
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2001-12,2052855
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2002-01,2185734
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2002-02,1911166
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2002-03,2024174
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2002-04,2004783
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2002-05,1942226
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2002-06,1983437
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2002-07,2082860
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2002-08,2233877
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2002-09,2148942
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2002-10,1940892
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2002-11,2042137
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2002-12,2199405
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2003-01,2107551
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2003-02,1800332
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2003-03,2040229
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2003-04,1736810
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2003-05,1752180
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2003-06,1717577
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2003-07,1767806
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2003-08,1787123
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2003-09,1797610
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2003-10,1631544
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2003-11,1589128
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2003-12,1619391
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2004-01,1590434
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2004-02,1449527
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2004-03,1642241
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2004-04,1759780
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2004-05,1862551
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2004-06,1976592
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2004-07,2120425
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2004-08,2348607
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2004-09,2240898
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2004-10,2401569
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2004-11,2238229
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2004-12,2205555
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2005-01,2333635
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2005-02,2160889
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2005-03,2359172
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2005-04,2931090
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2005-05,3068739
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2005-06,2933795
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2005-07,3521425
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2005-08,3168660
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2005-09,3207509
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2005-10,3324166
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2005-11,3267341
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2005-12,3292775
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2006-01,3235762
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2006-02,3134036
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2006-03,3264610
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2006-04,3322946
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2006-05,2911998
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2006-06,3243617
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2006-07,3656196
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2006-08,3445556
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2006-09,3360673
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2006-10,3311599
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2006-11,3073954
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2006-12,3373595
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2007-01,3341276
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2007-02,2867540
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2007-03,3195577
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2007-04,3169749
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2007-05,3024705
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2007-06,3041597
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2007-07,3057958
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2007-08,3481853
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2007-09,2950793
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2007-10,3328691
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2007-11,3247711
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2007-12,3558295
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2008-01,3440201
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2008-02,3164182
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2008-03,3621912
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2008-04,4076086
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2008-05,4898618
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2008-06,6026398
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2008-07,5996037
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2008-08,7021259
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2008-09,7612609
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2008-10,8961300
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2008-11,8560721
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2008-12,7725934
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2009-01,6308653
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2009-02,5613378
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2009-03,5655378
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2009-04,4836246
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2009-05,4347857
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2009-06,4478898
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2009-07,4671710
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2009-08,4333242
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2009-09,4409911
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2009-10,4524035
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2009-11,3961237
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2009-12,4695037
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2010-01,4405593
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2010-02,3954975
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2010-03,4261358
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2010-04,5478185
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2010-05,5592320
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2010-06,6549433
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2010-07,6301492
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2010-08,6780662
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2010-09,5860451
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2010-10,5799333
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2010-11,5684788
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2010-12,5922156
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2011-01,4460711
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2011-02,4370552
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2011-03,5446631
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2011-04,5744185
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2011-05,6074083
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2011-06,6720619
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2011-07,6230794
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2011-08,7274945
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2011-09,6635217
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2011-10,6762565
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2011-11,6468855
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2011-12,7202692
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2012-01,6236215
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2012-02,5141374
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2012-03,5723999
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2012-04,5819014
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2012-05,5833355
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2012-06,6188750
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2012-07,6325680
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2012-08,6098119
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2012-09,5879731
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2012-10,5781044
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2012-11,5426056
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2012-12,5891423
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2013-01,5221804
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2013-02,4586844
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2013-03,5158599
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2013-04,5089830
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2013-05,5634944
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2013-06,5849147
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2013-07,6219803
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2013-08,6030096
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2013-09,5742607
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2013-10,5783980
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2013-11,5533606
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2013-12,6660004
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2014-01,6157482
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2014-02,5695097
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2014-03,6072911
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2014-04,5723151
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2014-05,5414558
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2014-06,5954239
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2014-07,6064841
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2014-08,5729717
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2014-09,5690713
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2014-10,5827745
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2014-11,6032586
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2014-12,6147355
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2015-01,5784640
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2015-02,5318302
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2015-03,5526648
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2015-04,4698655
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2015-05,4458413
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2015-06,5155311
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2015-07,5255872
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2015-08,5578314
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2015-09,5188553
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2015-10,5163205
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2015-11,5125480
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2015-12,4994782
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2016-01,4776518
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2016-02,4347344
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2016-03,4674677
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2016-04,4335052
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2016-05,4490347
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2016-06,4887723
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2016-07,4885556
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2016-08,5288146
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2016-09,5749649
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2016-10,6522548
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2016-11,8192615
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2016-12,9550093
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2017-01,7947842
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2017-02,7132801
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2017-03,7588265
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2017-04,5411015
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2017-05,8230430
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2017-06,8206654
